ticker,name,volume_ratio,resistance_price,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
010580,에스엠벡셀,67.05,2335.0,20230418,3466.92,20230418,3356.19,-3%손절,0,-3.19,False
032820,우리기술,52.2,1485.0,20230418,1848.69,20230418,1789.64,-3%손절,0,-3.19,False
000760,이화산업,200.28,15350.0,20230419,25050.0,20230420,26249.9,+5%익절,1,4.79,False
061250,화일약품,39.02,2185.0,20230414,2254.5,20230420,2182.49,-3%손절,4,-3.19,False
001000,신라섬유,273.81,1850.0,20230421,2404.8,20230421,2327.99,-3%손절,0,-3.19,False
023350,한국종합기술,87.3,6520.0,20230412,6853.68,20230421,6634.77,-3%손절,7,-3.19,False
027710,팜스토리,155.95,1700.0,20230421,1932.86,20230421,1871.12,-3%손절,0,-3.19,False
218150,미래생명자원,139.1,4230.0,20230421,4519.02,20230421,4735.48,+5%익절,0,4.79,False
377220,프롬바이오,93.57,7470.0,20230419,7795.56,20230421,7546.57,-3%손절,2,-3.19,False
001250,GS글로벌,35.43,2870.0,20230424,3326.64,20230424,3220.39,-3%손절,0,-3.19,False
003310,대주산업,33.49,2345.0,20230424,2505.0,20230424,2424.99,-3%손절,0,-3.19,False
097870,효성오앤비,65.13,8520.0,20230424,9909.78,20230424,9593.26,-3%손절,0,-3.19,False
187790,나노,53.37,1304.0,20230424,1336.67,20230424,1293.97,-3%손절,0,-3.19,False
251120,바이오에프디엔씨,62.83,15190.0,20230424,17134.2,20230424,16586.93,-3%손절,0,-3.19,False
009160,SIMPAC,32.3,5480.0,20230425,6282.54,20230425,6081.88,-3%손절,0,-3.19,False
009440,KC그린홀딩스,20.23,3920.0,20230425,4393.77,20230425,4253.43,-3%손절,0,-3.19,False
038060,루멘스,70.05,1318.0,20230425,1538.07,20230425,1488.94,-3%손절,0,-3.19,False
308100,형지글로벌,25.41,5570.0,20230425,7995.96,20230425,7740.57,-3%손절,0,-3.19,False
009470,삼화전기,60.24,15940.0,20230426,17524.98,20230426,16965.23,-3%손절,0,-3.19,False
077970,STX엔진,39.23,13080.0,20230426,13527.0,20230426,13094.95,-3%손절,0,-3.19,False
08537M,루트로닉3우C,30.01,36350.0,20230425,35571.0,20230426,34434.86,-3%손절,1,-3.19,False
086980,쇼박스,136.88,3370.0,20230426,3747.48,20230426,3627.79,-3%손절,0,-3.19,False
368770,파이버프로,26.59,3470.0,20230426,3972.93,20230426,3846.03,-3%손절,0,-3.19,False
004840,DRB동일,165.37,4255.0,20230427,4659.3,20230427,4510.48,-3%손절,0,-3.19,False
009320,아진전자부품,104.45,1440.0,20230427,2054.1,20230427,1988.49,-3%손절,0,-3.19,False
044180,KD,17.95,784.0,20230427,1127.25,20230427,1091.25,-3%손절,0,-3.19,False
084730,팅크웨어,27.57,13030.0,20230427,13607.16,20230427,13172.55,-3%손절,0,-3.19,False
009450,경동나비엔,35.52,35400.0,20230427,40981.8,20230428,39672.84,-3%손절,1,-3.19,False
089850,유비벨록스,60.51,12150.0,20230428,12354.66,20230428,11960.05,-3%손절,0,-3.19,False
115160,휴맥스,19.87,3625.0,20230428,4008.0,20230428,3879.98,-3%손절,0,-3.19,False
038870,에코심플렉스,66.82,4700.0,20230502,7314.6,20230502,7080.97,-3%손절,0,-3.19,False
053980,오상자이엘,40.99,5800.0,20230428,6953.88,20230502,6731.77,-3%손절,1,-3.19,False
069330,유아이디,38.09,1698.0,20230428,1837.67,20230502,1778.97,-3%손절,1,-3.19,False
119850,지엔씨에너지,23.93,3675.0,20230502,5410.8,20230502,5237.98,-3%손절,0,-3.19,False
353810,이지바이오,73.68,3785.0,20230502,4293.57,20230503,4156.43,-3%손절,1,-3.19,False
007770,한일화학,61.9,20850.0,20230706,28306.5,20230706,27402.39,-3%손절,0,-3.19,False
049800,우진플라임,366.07,3525.0,20230706,4018.02,20230706,3889.68,-3%손절,0,-3.19,False
123750,알톤,67.59,3865.0,20230706,3907.8,20230706,3782.98,-3%손절,0,-3.19,False
239610,에이치엘사이언스,55.73,15640.0,20230706,22094.1,20230706,21388.41,-3%손절,0,-3.19,False
331380,포커스에이아이,178.43,2450.0,20230706,3086.16,20230706,2987.59,-3%손절,0,-3.19,False
023900,풍국주정,258.02,13480.0,20230707,16352.64,20230707,15830.34,-3%손절,0,-3.19,False
024120,KB오토시스,41.55,5710.0,20230707,5931.84,20230707,5742.38,-3%손절,0,-3.19,False
104700,한국철강,252.7,6610.0,20230707,6763.5,20230707,6547.47,-3%손절,0,-3.19,False
321260,프로이천,32.83,3050.0,20230707,3111.21,20230707,3260.24,+5%익절,0,4.79,False
053300,한국정보인증,186.77,5000.0,20230710,6162.3,20230710,5965.48,-3%손절,0,-3.19,False
123570,이엠넷,470.54,3495.0,20230710,5010.0,20230710,4849.98,-3%손절,0,-3.19,False
237820,플레이디,65.39,5140.0,20230710,8186.34,20230710,8578.47,+5%익절,0,4.79,False
307870,비투엔,63.12,2220.0,20230710,2770.53,20230710,2903.24,+5%익절,0,4.79,False
046310,백금T&A,57.24,3420.0,20230711,3486.96,20230711,3375.59,-3%손절,0,-3.19,False
054930,유신,52.31,32250.0,20230711,43837.5,20230711,42437.33,-3%손절,0,-3.19,False
261200,덴티스,53.83,11310.0,20230711,14468.88,20230711,15161.94,+5%익절,0,4.79,False
277070,린드먼아시아,55.55,5990.0,20230711,6422.82,20230711,6217.68,-3%손절,0,-3.19,False
130660,한전산업,76.02,7470.0,20230712,9388.74,20230712,9088.86,-3%손절,0,-3.19,False
155650,와이엠씨,189.23,6080.0,20230713,7474.92,20230713,7236.17,-3%손절,0,-3.19,False
226340,본느,94.66,1705.0,20230712,2039.07,20230713,1973.94,-3%손절,1,-3.19,False
004720,팜젠사이언스,85.98,5640.0,20230714,5901.78,20230714,5713.28,-3%손절,0,-3.19,False
006910,보성파워텍,63.56,3710.0,20230712,3967.92,20230714,3841.18,-3%손절,2,-3.19,False
010640,진양폴리,160.68,5010.0,20230714,5591.16,20230714,5858.98,+5%익절,0,4.79,False
024830,세원물산,39.01,8240.0,20230707,8346.66,20230714,8080.07,-3%손절,5,-3.19,False
007815,코리아써우,174.22,6310.0,20230717,7905.78,20230717,7653.27,-3%손절,0,-3.19,False
060570,드림어스컴퍼니,242.24,3120.0,20230717,3777.54,20230717,3656.89,-3%손절,0,-3.19,False
066900,디에이피,88.09,3460.0,20230717,4498.98,20230717,4355.28,-3%손절,0,-3.19,False
331520,밸로프,83.71,1239.0,20230717,1507.01,20230717,1458.87,-3%손절,0,-3.19,False
950110,SBI핀테크솔루션즈,62.72,4980.0,20230717,5240.46,20230717,5073.08,-3%손절,0,-3.19,False
001550,조비,59.74,15450.0,20230718,16332.6,20230718,15810.94,-3%손절,0,-3.19,False
002100,경농,225.83,10080.0,20230718,11813.58,20230718,11436.25,-3%손절,0,-3.19,False
065950,웰크론,34.01,2995.0,20230718,3271.53,20230718,3167.04,-3%손절,0,-3.19,False
071280,로체시스템즈,91.05,7000.0,20230718,7294.56,20230718,7061.57,-3%손절,0,-3.19,False
417860,오브젠,36.5,39550.0,20230718,47494.8,20230718,45977.82,-3%손절,0,-3.19,False
020710,시공테크,36.47,4820.0,20230719,5110.2,20230719,4946.98,-3%손절,0,-3.19,False
024950,삼천리자전거,169.83,6100.0,20230719,6593.16,20230719,6382.57,-3%손절,0,-3.19,False
044180,KD,42.31,804.0,20230719,857.71,20230719,830.32,-3%손절,0,-3.19,False
334970,프레스티지바이오로직스,38.88,4225.0,20230719,5430.84,20230719,5257.38,-3%손절,0,-3.19,False
186230,그린플러스,102.77,10380.0,20230719,10490.94,20230720,10155.86,-3%손절,1,-3.19,False
214390,경보제약,46.11,6880.0,20230720,6953.88,20230720,7286.97,+5%익절,0,4.79,False
004255,NPC우,344.82,3025.0,20230721,3161.31,20230721,3312.74,+5%익절,0,4.79,False
307750,국전,151.59,5940.0,20230720,7074.12,20230721,7412.97,+5%익절,1,4.79,False
356890,싸이버원,83.62,9260.0,20230720,9569.1,20230721,9263.46,-3%손절,1,-3.19,False
003060,에이프로젠바이오로직스,67.67,346.0,20230724,394.79,20230724,382.18,-3%손절,0,-3.19,False
004250,NPC,68.05,6420.0,20230721,7024.02,20230724,6799.67,-3%손절,1,-3.19,False
080520,오디텍,68.38,5050.0,20230721,5140.26,20230724,4976.08,-3%손절,1,-3.19,False
204840,지엘팜텍,81.54,837.0,20230724,1072.14,20230724,1037.9,-3%손절,0,-3.19,False
28513K,SK케미칼우,134.22,29650.0,20230724,31062.0,20230724,30069.88,-3%손절,0,-3.19,False
018470,조일알미늄,9.62,3250.0,20230725,3336.66,20230725,3496.49,+5%익절,0,4.79,False
038460,바이오스마트,100.71,3240.0,20230725,3517.02,20230725,3404.69,-3%손절,0,-3.19,False
076080,웰크론한텍,18.71,4960.0,20230725,5170.32,20230725,5005.18,-3%손절,0,-3.19,False
086060,진바이오텍,363.59,4225.0,20230725,4679.34,20230725,4529.88,-3%손절,0,-3.19,False
000680,LS네트웍스,130.44,2735.0,20230726,4358.7,20230726,4567.48,+5%익절,0,4.79,False
006340,대원전선,54.18,1104.0,20230726,1132.26,20230726,1096.1,-3%손절,0,-3.19,False
226330,신테카바이오,11.88,12950.0,20230725,14438.82,20230726,13977.64,-3%손절,1,-3.19,False
229640,LS에코에너지,293.15,6870.0,20230726,8296.56,20230726,8031.57,-3%손절,0,-3.19,False
38380K,LX홀딩스1우,44.41,9870.0,20230726,9869.7,20230726,9554.46,-3%손절,0,-3.19,False
030960,양지사,31.96,15210.0,20230727,18486.9,20230727,17896.43,-3%손절,0,-3.19,False
078140,대봉엘에스,67.67,8820.0,20230727,13226.4,20230727,12803.95,-3%손절,0,-3.19,False
190510,나무가,19.72,14530.0,20230727,14709.36,20230727,14239.54,-3%손절,0,-3.19,False
241820,피씨엘,18.56,6630.0,20230727,7104.18,20230727,7444.47,+5%익절,0,4.79,False
419050,삼기에너지솔루션즈,31.23,15840.0,20230727,17895.72,20230727,17324.13,-3%손절,0,-3.19,False
010050,우리종금,11.95,731.0,20230728,745.49,20230728,721.68,-3%손절,0,-3.19,False
019170,신풍제약,11.23,15580.0,20230728,19939.8,20230728,19302.92,-3%손절,0,-3.19,False
036560,KZ정밀,18.13,13660.0,20230728,14669.28,20230728,15371.94,+5%익절,0,4.79,False
081580,성우전자,101.75,2545.0,20230728,2600.19,20230728,2517.14,-3%손절,0,-3.19,False
229640,LS에코에너지,13.02,7400.0,20230728,9569.1,20230728,9263.46,-3%손절,0,-3.19,False
014990,인디에프,17.76,948.0,20230731,1007.01,20230731,974.85,-3%손절,0,-3.19,False
049520,유아이엘,11.53,3785.0,20230731,4629.24,20230731,4481.38,-3%손절,0,-3.19,False
054210,이랜텍,27.47,12200.0,20230731,14559.06,20230731,14094.04,-3%손절,0,-3.19,False
294630,서남,24.68,3445.0,20230731,4378.74,20230731,4588.48,+5%익절,0,4.79,False
000155,두산우,65.93,51000.0,20230801,59118.0,20230801,57229.77,-3%손절,0,-3.19,False
000157,두산2우B,49.92,95500.0,20230801,100200.0,20230801,96999.61,-3%손절,0,-3.19,False
004830,덕성,126.54,3765.0,20230801,4559.1,20230801,4777.48,+5%익절,0,4.79,False
004835,덕성우,90.33,4990.0,20230801,5200.38,20230801,5449.48,+5%익절,0,4.79,False
002800,신신제약,120.05,4570.0,20230802,5210.4,20230802,5043.98,-3%손절,0,-3.19,False
021080,에이티넘인베스트,45.47,2325.0,20230802,2444.88,20230802,2561.99,+5%익절,0,4.79,False
047310,파워로직스,46.4,5990.0,20230802,9689.34,20230802,9379.86,-3%손절,0,-3.19,False
208350,지란지교시큐리티,71.16,3745.0,20230802,4068.12,20230802,3938.18,-3%손절,0,-3.19,False
250060,모비스,63.08,2370.0,20230802,3456.9,20230802,3346.49,-3%손절,0,-3.19,False
021050,서원,110.57,1338.0,20230803,1913.82,20230803,2005.49,+5%익절,0,4.79,False
037330,인지디스플레,86.95,2070.0,20230803,2510.01,20230803,2429.84,-3%손절,0,-3.19,False
045100,한양이엔지,57.33,16960.0,20230803,18687.3,20230803,18090.43,-3%손절,0,-3.19,False
060480,국일신동,101.53,2850.0,20230803,3416.82,20230803,3307.69,-3%손절,0,-3.19,False
008370,원풍,178.92,4080.0,20230804,4298.58,20230804,4161.28,-3%손절,0,-3.19,False
062970,한국첨단소재,31.73,2600.0,20230804,2484.96,20230804,2405.59,-3%손절,0,-3.19,False
067170,오텍,40.52,5250.0,20230804,5200.38,20230804,5034.28,-3%손절,0,-3.19,False
261780,아리바이오랩,65.41,4665.0,20230804,5500.98,20230804,5325.28,-3%손절,0,-3.19,False
004270,남성,36.97,1981.0,20230807,2274.54,20230807,2201.89,-3%손절,0,-3.19,False
014470,부방,53.94,2215.0,20230807,2369.73,20230807,2483.24,+5%익절,0,4.79,False
019440,세아특수강,26.61,15610.0,20230804,15781.5,20230807,15277.44,-3%손절,1,-3.19,False
036690,코맥스,41.06,3070.0,20230807,3426.84,20230807,3317.39,-3%손절,0,-3.19,False
008110,대동전자,43.38,5150.0,20230808,5811.6,20230808,5625.98,-3%손절,0,-3.19,False
014570,고려제약,101.54,6350.0,20230808,6783.54,20230808,6566.87,-3%손절,0,-3.19,False
