ticker,name,volume_ratio,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
123690,한국화장품,26.72,20231026,6653.28,20231110,6610.75,트레일링스톱-10%,11,-0.64,False
182400,엔케이젠바이오텍코리아,16.89,20231030,12605.16,20231113,13302.34,트레일링스톱-10%,10,5.53,False
319400,현대무벡스,3.95,20231114,3471.93,20231204,3296.39,트레일링스톱-10%,14,-5.06,False
026940,부국철강,7.97,20231114,3737.46,20231206,3826.33,트레일링스톱-10%,16,2.38,False
317330,덕산테코피아,25.56,20231205,19098.12,20231207,18413.1,트레일링스톱-10%,2,-3.59,False
067160,SOOP,20.18,20231207,81462.6,20231208,75628.44,트레일링스톱-10%,1,-7.16,False
026940,부국철강,12.75,20231211,5370.72,20231212,5290.4,트레일링스톱-10%,1,-1.5,False
064260,다날,7.16,20231208,5080.14,20231212,4733.51,트레일링스톱-10%,2,-6.82,False
006650,대한유화,5.75,20231031,157915.2,20231213,154939.5,트레일링스톱-10%,31,-1.88,False
098460,고영,24.33,20231213,15891.72,20231214,14505.93,트레일링스톱-10%,1,-8.72,False
036540,SFA반도체,81.08,20231213,6803.58,20231215,6125.72,트레일링스톱-10%,2,-9.96,False
091990,셀트리온헬스케어,3.12,20231025,67134.0,20231218,73113.48,트레일링스톱-10%,38,8.91,False
011200,HMM,6.69,20231219,16713.36,20231221,20928.06,트레일링스톱-10%,2,25.22,False
095500,미래나노텍,34.92,20231218,17905.74,20231226,16634.66,트레일링스톱-10%,5,-7.1,False
022100,포스코DX,9.05,20231222,59318.4,20231228,71496.72,트레일링스톱-10%,3,20.53,False
086450,동국제약,3.45,20231214,15531.0,,,,9,4.05,True
365340,성일하이텍,12.19,20231215,110320.2,,,,8,-1.11,True
196170,알테오젠,9.84,20231222,87174.0,,,,3,12.99,True
